Amount of boids, FPS
1151,62.7691
1151,60.7039
1151,62.0086
1152,61.9986
1152,62.8879
1152,63.0509
1153,63.6233
1153,64.0229
1153,63.1365
1154,63.3758
1154,62.3651
1154,64.355
1155,64.0254
1155,62.303
1155,60.6439
1156,60.4833
1156,61.8227
1156,59.8871
1157,61.1049
1157,63.2795
1157,62.1002
1158,60.7851
1158,61.1075
1158,61.1325
1159,61.5661
1159,62.1284
1159,61.5927
1160,60.9225
1160,60.5859
1160,61.439
1161,60.0431
1161,60.6152
1161,59.8645
1162,61.6972
1162,60.3322
1162,57.464
1163,62.1361
1163,61.2681
1163,60.9515
1164,60.8165
1164,59.1653
1164,58.605
1165,61.9218
1165,61.6477
1165,61.3132
1166,61.5479
1166,61.612
1166,62.089
1167,61.7623
1167,61.851
1167,60.1917
1168,62.9434
1168,62.3469
1168,60.0107
1169,58.7468
1169,61.1606
1169,62.0447
1170,61.8364
1170,62.3243
1170,62.1423
1171,62.2049
1171,60.7862
1171,61.6751
1172,61.8709
1172,61.0352
1172,61.6253
1173,58.1646
1173,58.1257
1173,61.529
1174,60.7179
1174,61.4776
1174,61.59
1175,60.8735
1175,61.4673
1175,61.1726
1176,61.3625
1176,61.3998
1176,61.3779
1177,58.1784
1177,57.5384
1177,59.0211
1178,59.9449
1178,60.3806
1178,60.0265
1179,60.518
1179,60.0918
1179,60.6178
1180,60.081
1180,60.6586
1180,56.7334
1181,59.5426
1181,57.9307
1181,57.2646
1182,57.171
1182,58.7841
1182,59.6036
1183,58.9126
1183,58.2059
1183,59.56
1184,59.7043
1184,58.0407
1184,59.7704
1185,60.3165
1185,59.919
1185,57.048
1186,58.6036
1186,59.9736
1186,60.2051
1187,60.4262
1187,60.5213
1187,59.5249
1188,59.5351
1188,60.0301
1188,60.4095
1189,60.4902
1189,60.4536
1189,60.4029
1190,57.7031
1190,58.2747
1190,58.5792
1191,59.7618
1191,58.1706
1191,59.6591
1192,59.9671
1192,60.1124
1192,60.1381
1193,60.2061
1193,60.0031
1193,60.5239
1194,57.6631
1194,57.7301
1194,57.1765
1195,57.1491
1195,60.128
1195,61.6207
1196,61.8977
1196,62.0575
1196,62.3803
1197,61.7353
1197,61.3414
1197,60.6347
1198,58.1037
1198,56.9885
1198,58.537
1199,58.0238
1199,56.0328
1199,57.22
1200,56.0215
1200,56.9573
1200,57.0877
1201,56.8838
1201,55.1727
1201,55.7622
1202,55.5148
1202,55.3406
1202,59.1544
1203,57.3908
1203,58.8699
1203,58.8627
1204,57.9253
1204,58.559
1204,57.6415
1205,57.7031
1205,59.5887
1205,59.0103
1206,55.9744
1206,53.4328
1206,54.8008
1207,55.2944
1207,54.0771
1207,54.9668
1208,55.4877
1208,58.3267
1208,57.6552
1209,58.6665
1209,56.23
1209,57.1102
1210,55.6502
1210,52.6152
1210,54.6287
1211,56.5052
1211,57.0916
1211,54.839
1212,56.8705
1212,55.8775
1212,56.0039
1213,55.6756
1213,53.1364
1213,58.2808
1214,53.6723
1214,52.8203
1214,57.6608
1215,58.3683
1215,56.5483
1215,56.1274
1216,57.1451
1216,60.8746
1216,59.1146
1217,56.3815
1217,57.5225
1217,57.4089
1218,54.7309
1218,53.2453
1218,55.6368
1219,55.8491
1219,56.9736
1219,56.4102
1220,55.7274
1220,57.427
1220,58.37
1221,57.5053
1221,55.4139
1221,56.3707
1222,56.8095
1222,53.8642
1222,54.1785
1223,55.4551
1223,54.5123
1223,55.1517
1224,55.0249
1224,55.1049
1224,54.87
1225,55.1198
1225,56.4369
1225,58.1024
1226,60.1482
1226,53.0938
1226,56.4468
1227,56.2031
1227,57.2407
1227,57.7654
1228,58.1456
1228,57.7824
1228,58.9227
1229,58.2883
1229,57.3141
1229,57.6731
1230,55.987
1230,55.3443
